id;title;description;duration;cost;budget;started;difficulty;start_date;deadline;contact;document;document_content_type
1;system;back-end Metal;14045;10111;15115;false;Libyan Arab Jamahiriya;2020-04-04;2020-04-04;Sharable Democratic People's Republic of Korea;../fake-data/blob/hipster.png;image/png
2;Investment Account Tasty;web services Sleek;25875;97806;52634;false;Stream;2020-04-04;2020-04-04;adapter upward-trending;../fake-data/blob/hipster.png;image/png
3;Fantastic Wooden Bacon Street;Yuan Renminbi Sharable;64002;15375;14578;false;Overpass;2020-04-04;2020-04-04;Dynamic;../fake-data/blob/hipster.png;image/png
4;array;input;41153;78827;62684;true;system foreground Practical;2020-04-04;2020-04-04;mobile;../fake-data/blob/hipster.png;image/png
5;Optional Credit Card Account Designer;Viaduct;25619;66155;15922;true;Handcrafted Concrete Shirt Global payment;2020-04-04;2020-04-04;Games Uzbekistan capacitor;../fake-data/blob/hipster.png;image/png
6;blue;deposit Dynamic;42460;3340;65964;false;Maine;2020-04-04;2020-04-04;Accounts markets;../fake-data/blob/hipster.png;image/png
7;Views;Chips;59153;96062;93538;true;Tunnel Strategist;2020-04-04;2020-04-04;Senior;../fake-data/blob/hipster.png;image/png
8;connect Facilitator;New York dot-com;95683;11136;30625;false;deposit Albania;2020-04-04;2020-04-04;holistic;../fake-data/blob/hipster.png;image/png
9;vortals;Guarani deposit driver;48620;83045;45807;true;real-time architecture;2020-04-03;2020-04-03;Reactive Italy;../fake-data/blob/hipster.png;image/png
10;Licensed Soft Chips Pennsylvania;challenge;10371;12359;86824;false;parse;2020-04-04;2020-04-04;compressing compelling;../fake-data/blob/hipster.png;image/png
