id;title;description;duration;cost;budget;started;difficulty;start_date;deadline;contact;document;document_content_type
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;64152;15584;29717;true;payment Chair methodologies;2020-04-04;2020-04-04;withdrawal;../fake-data/blob/hipster.png;image/png
2;Rubber;responsive Frozen Turnpike;46567;82637;73168;true;transmit Usability Wisconsin;2020-04-04;2020-04-04;Licensed Fresh Chair zero administration;../fake-data/blob/hipster.png;image/png
3;hacking;back up Pa'anga copying;46770;79898;16189;true;Health Uganda Shilling driver;2020-04-04;2020-04-04;Tasty Avon interface;../fake-data/blob/hipster.png;image/png
4;Checking Account integrate Re-contextualized;Switchable TCP;98202;88259;44063;true;Plastic invoice real-time;2020-04-04;2020-04-04;Valley mint green Technician;../fake-data/blob/hipster.png;image/png
5;Personal Loan Account;applications withdrawal Rustic;22436;26991;58270;false;withdrawal Checking Account;2020-04-04;2020-04-04;Organized Rubber parse;../fake-data/blob/hipster.png;image/png
6;New York deposit;Consultant;38586;67369;17207;false;purple;2020-04-04;2020-04-04;cutting-edge Plastic Toys;../fake-data/blob/hipster.png;image/png
7;Developer toolset collaboration;Face to face Cambridgeshire compressing;29963;27846;44995;false;experiences PCI withdrawal;2020-04-03;2020-04-04;intangible Maryland;../fake-data/blob/hipster.png;image/png
8;Congo coherent SQL;mesh;56292;72566;78901;false;attitude;2020-04-04;2020-04-04;silver;../fake-data/blob/hipster.png;image/png
9;Quality real-time;withdrawal deposit niches;57552;1966;90662;true;vortals Investor;2020-04-04;2020-04-04;quantify Borders Bike;../fake-data/blob/hipster.png;image/png
10;Poland hacking;Ergonomic Romania;58646;32629;58140;false;calculate;2020-04-04;2020-04-03;Mississippi;../fake-data/blob/hipster.png;image/png
